epoch,learning_rate,train_loss,train_accuracy,test_loss,test_accuracy
1,0.1,4.050231516647339,7.082,3.7418256425857543,11.23
2,0.1,3.600166989822388,13.996,3.3061876273155213,18.72
3,0.1,3.2400776783752443,19.888,3.268175308704376,21.7
4,0.1,2.932190471725464,25.694,3.6001744413375856,21.7
5,0.1,2.7181741435241698,30.026,3.095414137840271,25.55
6,0.1,2.556617696685791,33.076,3.16816365480423,27.83
7,0.1,2.43686211730957,35.668,2.5661937737464906,33.52
8,0.1,2.3532222842788695,37.448,2.6182728803157804,35.19
9,0.1,2.2817820947265623,39.164,2.6102314019203186,33.83
10,0.1,2.2325356271362304,40.152,2.5644400835037233,36.42
11,0.1,2.18951000038147,41.118,2.2071100080013277,40.91
12,0.1,2.1494158057022097,42.244,2.522391667366028,36.67
13,0.1,2.1171079485321047,42.754,2.518492225408554,37.12
14,0.1,2.0862456620788574,43.648,2.3483694291114805,39.47
15,0.1,2.069757588043213,43.92,2.602415897846222,37.7
16,0.1,2.049403646888733,44.662,2.446727668046951,39.26
17,0.1,2.0357777589416504,44.86,2.1930498945713044,42.37
18,0.1,2.0143085760498045,45.356,2.6630178916454317,37.78
19,0.1,2.00248359916687,45.536,3.054482114315033,32.04
20,0.1,1.9976139675521851,45.708,2.126722055673599,43.39
21,0.1,1.970706577682495,46.338,2.3335438454151154,39.91
22,0.1,1.974834310951233,46.41,2.0157592487335205,44.9
23,0.1,1.9597762252044677,46.646,2.2519175469875337,44.55
24,0.1,1.9436644523620605,47.056,2.562510631084442,39.87
25,0.1,1.9376957768249512,47.264,2.2093417608737944,42.8
26,0.1,1.9282007103729248,47.476,2.2556434762477875,42.59
27,0.1,1.9289581867218017,47.584,2.2815735912323,43.28
28,0.1,1.9251237622451782,47.64,2.3309746599197387,41.97
29,0.1,1.9135333727264405,47.778,2.1140300846099853,44.29
30,0.1,1.912712414932251,48.256,1.9523447120189668,46.64
31,0.1,1.8952925936889649,48.134,2.7461861181259155,37.36
32,0.1,1.898687374534607,48.35,2.122942247390747,44.91
33,0.1,1.890483967437744,48.494,2.47101904630661,40.32
34,0.1,1.8872372918701172,48.602,2.191486027240753,43.65
35,0.1,1.8770954932022095,48.678,2.106846477985382,45.14
36,0.1,1.8814362970733642,48.58,2.140672953128815,45.19
37,0.1,1.8836886378479003,48.498,2.0342266607284545,46.54
38,0.1,1.8696069785308838,48.828,2.4388243103027345,40.67
39,0.1,1.8694685750579834,49.088,2.4134438264369966,39.86
