epoch,learning_rate,train_loss,train_accuracy,test_loss,test_accuracy
1,0.1,4.048482304534912,7.194,3.861909575462341,10.23
2,0.1,3.5919017570495604,13.6,3.80919007062912,14.68
3,0.1,3.223644614715576,20.026,3.2504137182235717,20.69
4,0.1,2.9465468073272705,24.984,3.091947782039642,25.33
5,0.1,2.7501322633361815,28.912,2.9242191243171693,28.15
6,0.1,2.5940678357696534,32.298,2.680631647109985,31.49
7,0.1,2.484538485183716,34.6,2.6579709434509278,33.56
8,0.1,2.3821393083190916,37.036,2.4797680056095124,35.71
9,0.1,2.3138645124816897,38.428,2.6434164476394653,33.89
10,0.1,2.2467715099334717,39.962,2.4322013664245605,37.84
11,0.1,2.190955878677368,41.41,2.2582890117168426,40.24
12,0.1,2.1601203547668457,42.004,2.9677514815330506,31.59
13,0.1,2.126161923904419,42.566,2.5114303278923034,36.78
14,0.1,2.0919391604232787,43.286,2.111900078058243,44.01
15,0.1,2.0548102473449705,44.394,2.3316623270511627,40.06
16,0.1,2.04794378944397,44.526,2.4682054591178892,39.18
17,0.1,2.034522989463806,45.052,2.6528450512886046,34.82
18,0.1,2.0189230356597903,45.228,2.428789440393448,38.17
19,0.1,1.9971983224487304,45.51,2.2101862168312074,42.73
20,0.1,1.990355597000122,45.794,2.5860762882232664,37.73
21,0.1,1.9833526920318603,45.91,2.1256384897232055,43.62
22,0.1,1.974426652984619,46.368,2.3696649825572966,40.08
23,0.1,1.9631858009338379,46.482,2.1853506600856782,42.52
24,0.1,1.94788186958313,46.796,2.514273773431778,39.43
25,0.1,1.9418187354278564,47.0,2.878251836299896,32.31
26,0.1,1.9446057818603515,47.2,2.193937211036682,42.83
27,0.1,1.9233791722106934,47.424,2.7139989495277406,37.41
28,0.1,1.9243931476593017,47.6,2.1399692809581756,43.56
29,0.1,1.9207649489974976,47.77,2.090901061296463,44.45
30,0.1,1.9085996612548828,48.236,2.3897028732299805,39.45
31,0.1,1.9082767026519776,48.074,2.1689175868034365,43.98
32,0.1,1.9064627136993408,48.21,2.176458555459976,44.79
33,0.1,1.8977160685729981,48.428,2.4757098865509035,38.78
34,0.1,1.9021026690673828,48.22,2.116628202199936,45.43
35,0.1,1.894722196083069,48.146,2.1429351663589475,43.58
36,0.1,1.8837327654647826,48.408,2.180733006000519,42.93
37,0.1,1.8784781027984618,48.69,2.379330953359604,41.4
38,0.1,1.884157519607544,48.512,2.0707258450984956,44.72
39,0.1,1.870224169960022,48.738,2.2110669410228727,43.38
40,0.1,1.8708193658447265,48.696,2.197333301305771,42.38
41,0.1,1.8669303015136718,48.92,2.1812431609630583,43.67
42,0.1,1.8716542162704468,49.1,2.1078432667255402,45.72
43,0.1,1.8642617264556884,48.896,2.0847863435745237,44.22
44,0.1,1.863562204284668,48.898,1.9281637680530548,47.93
45,0.1,1.8617733139801025,49.176,2.0180147290229797,47.59
46,0.1,1.8576729357910156,49.142,2.5956774020195006,39.03
47,0.1,1.8552366900634765,49.288,2.0114945554733277,46.55
48,0.1,1.8492535998535156,48.924,2.208862453699112,44.17
49,0.1,1.8480612619018555,49.528,2.1125252878665925,44.37
50,0.1,1.842201024131775,49.654,2.133657160997391,44.5
51,0.1,1.8440053308868407,49.47,2.0733709931373596,45.72
52,0.1,1.851059091796875,49.32,1.9678344357013702,48.52
53,0.1,1.8391643865585328,49.684,2.192072207927704,44.07
54,0.1,1.837624471206665,49.722,2.123631331920624,45.08
55,0.1,1.8379767726898193,49.634,2.0022476387023924,46.81
56,0.1,1.837461837387085,49.672,2.014012435674667,47.47
57,0.1,1.8398638650894166,49.564,2.113662067651749,45.31
58,0.1,1.827970867538452,49.832,2.1804708218574524,44.43
59,0.1,1.8286918421173095,49.796,2.02726198554039,46.45
60,0.1,1.8296086963653564,49.756,1.9542833077907562,47.53
61,0.1,1.816301109085083,50.156,2.067278720140457,47.11
62,0.1,1.825571078491211,50.142,2.040548263788223,47.15
63,0.1,1.823020849533081,49.726,2.0273402762413024,46.26
64,0.1,1.818451950378418,50.29,2.069121469259262,44.72
65,0.1,1.8246980194473266,50.07,2.24495325088501,42.32
66,0.1,1.8130439987182618,50.214,1.9631705105304718,48.29
67,0.1,1.814390140914917,50.504,2.212101080417633,44.54
68,0.1,1.8139320190811157,50.302,2.2396225225925446,44.06
69,0.1,1.8035826306152343,50.618,1.9507854390144348,46.52
70,0.1,1.8146792055892944,50.166,2.2857399332523345,42.49
71,0.1,1.8136093075942994,50.106,2.014984973669052,47.09
72,0.1,1.8020676798248292,50.536,2.0263657665252683,46.65
73,0.1,1.8157800943756104,50.226,1.8973554265499115,49.48
74,0.1,1.8042694592285156,50.478,2.046174042224884,46.07
75,0.1,1.7984936065292358,50.814,2.2049873805046083,44.39
76,0.1,1.8032615957641602,50.646,2.3506379997730256,40.94
77,0.1,1.8064436877441405,50.25,2.0725931239128115,45.03
78,0.1,1.8011629944610597,50.406,1.8848609697818757,49.18
79,0.1,1.7947617150497437,50.894,2.238133635520935,45.33
80,0.1,1.8047687062835693,50.512,1.9712349808216094,47.27
81,0.1,1.8007871429824829,50.544,2.0688047230243685,45.41
82,0.1,1.7956981701660155,50.598,2.305929400920868,43.16
83,0.1,1.7996125915527343,50.622,2.1748520374298095,43.65
84,0.1,1.7937499251556397,50.784,2.018617789745331,45.84
85,0.1,1.797010393409729,50.42,1.9821915674209594,48.32
86,0.1,1.802790196762085,50.446,1.845577870607376,49.5
87,0.1,1.7963882346343993,50.93,1.859398535490036,49.52
88,0.1,1.7876100620269775,50.818,2.152495938539505,45.28
89,0.1,1.8044539896392822,50.426,2.0238298881053924,47.25
90,0.1,1.7828826665496826,51.062,2.0477830135822295,46.59
91,0.1,1.8100440100860595,50.38,2.0217408466339113,46.62
