epoch,learning_rate,train_loss,train_accuracy,test_loss,test_accuracy
1,0.1,1.7187068030929566,35.5,1.510063191652298,44.61
2,0.1,1.1733405039978027,57.604,1.1330300068855286,58.91
3,0.1,0.9112330997848511,67.756,0.9333658677339554,68.23
4,0.1,0.7714067055130005,73.04,0.9424329590797424,66.91
5,0.1,0.6998774705886841,75.834,0.9608579003810882,68.07
6,0.1,0.647334246711731,77.712,0.9207853960990906,71.08
7,0.1,0.6202285758972168,78.62,1.014856719970703,68.21
8,0.1,0.5920975656127929,79.57,1.0238721889257432,67.66
9,0.1,0.5709817939376831,80.266,0.81198845744133,73.13
10,0.1,0.5587869944000244,80.878,0.6566225662827492,77.54
11,0.1,0.5378226667404175,81.562,0.7206863695383072,75.66
12,0.1,0.529694775352478,81.838,0.7602940633893013,74.99
13,0.1,0.520099036808014,82.224,0.6512629783153534,77.4
14,0.1,0.5113134883880616,82.476,0.7660673475265503,75.91
15,0.1,0.5088353694057465,82.468,0.7655601972341537,75.29
16,0.1,0.49723638862609865,82.888,0.6730348232388497,77.64
17,0.1,0.49073950328826904,83.078,0.6751923912763595,78.04
18,0.1,0.4852185427284241,83.31,0.6416745245456695,79.01
19,0.1,0.4794399518585205,83.638,0.6579050827026367,78.75
20,0.1,0.4734690868186951,83.892,0.8974102342128754,73.08
21,0.1,0.4675731219768524,84.002,0.7576832360029221,75.55
22,0.1,0.46829507157325745,83.904,0.6093245649337768,80.09
23,0.1,0.4683811622619629,83.706,0.7831427294015885,74.53
24,0.1,0.4562973975658417,84.284,0.5778111642599106,80.95
25,0.1,0.4563598624610901,84.358,0.5938876342773437,80.54
26,0.1,0.4534185203933716,84.384,0.6156933516263962,80.0
27,0.1,0.4426444169902802,84.876,0.6267775872349739,79.72
28,0.1,0.44650511308670043,84.672,0.683842993080616,77.28
29,0.1,0.44257100637435914,84.814,0.8550168988108635,73.86
30,0.1,0.4389874921035767,84.94,0.732371022105217,76.52
31,0.1,0.44194969812393187,84.756,0.6665395504236221,78.57
32,0.1,0.43809703288078305,84.936,0.5065281891822815,83.25
33,0.1,0.43733148161888125,84.958,0.6993321603536606,77.95
34,0.1,0.4379415751695633,84.844,0.7351764276623726,76.16
35,0.1,0.42992747701644896,85.208,0.48572192043066026,83.72
36,0.1,0.43380152581214904,85.07,0.4821621572971344,83.96
37,0.1,0.42811111693382264,85.516,0.5805075690150261,80.93
38,0.1,0.43171581909179685,85.248,0.5237427285313606,82.62
