epoch,learning_rate,train_loss,train_accuracy,test_loss,test_accuracy
1,0.1,1.7412143643188476,34.036,1.5537773549556733,42.88
2,0.1,1.3114092726516724,52.054,1.2617545634508134,56.29
3,0.1,1.0841883899307252,61.208,1.2220627599954605,58.51
4,0.1,0.9580181126022339,66.274,0.9133429688215255,69.91
5,0.1,0.8829593960762024,68.872,1.2767057776451112,60.6
6,0.1,0.8358807968139649,70.768,0.8873953026533127,70.23
7,0.1,0.8017792004203796,72.016,0.9592726260423661,69.33
8,0.1,0.7706410679817199,73.312,0.7197402116656303,75.26
9,0.1,0.7556464681625367,73.55,0.7281429725885391,76.12
10,0.1,0.7396388206481933,74.368,0.8020915687084198,72.81
11,0.1,0.7182026439285278,75.088,0.9533274918794632,69.73
12,0.1,0.7083722542190551,75.512,0.7727271825075149,74.69
13,0.1,0.7023923224449158,75.732,0.8199869772791862,73.52
14,0.1,0.6916071884536743,76.07,0.9547038489580154,68.62
15,0.1,0.678124720840454,76.506,0.6851160830259323,76.87
16,0.1,0.6688566581535339,76.796,0.8253300255537033,73.81
17,0.1,0.6621428233528137,77.086,0.8184303575754166,73.7
18,0.1,0.6603087701416016,77.21,0.7008055481314659,76.94
19,0.1,0.6532230311584473,77.318,0.8860422974824905,70.79
20,0.1,0.6496968021774292,77.468,0.8416524928808212,71.94
21,0.1,0.63026378490448,78.136,0.8097101098299027,74.17
22,0.1,0.6363788488197326,77.84,0.6921476060152054,77.39
23,0.1,0.62942989818573,78.144,0.9240662568807602,71.42
24,0.1,0.6250197169876098,78.434,0.5536750534176826,81.11
25,0.1,0.6248528509140014,78.372,0.6489062649011612,78.4
26,0.1,0.6234104465866089,78.268,0.7806051850318909,74.72
27,0.1,0.6247270095443725,78.292,0.7721167984604835,76.0
28,0.1,0.6146361263275146,78.804,0.7418464058637619,75.31
29,0.1,0.6140635862350464,78.796,0.6318794307112694,78.57
30,0.1,0.6104918470191956,78.798,0.707328325510025,76.66
31,0.1,0.608411674156189,78.91,0.5704766938090324,80.73
32,0.1,0.6060049175643921,79.15,0.5686134919524193,80.67
33,0.1,0.6106396403694153,78.622,0.5871088165044784,79.97
34,0.1,0.5984240903091431,79.164,0.6395620062947274,79.45
35,0.1,0.599922551612854,79.17,0.8544389253854752,73.0
36,0.1,0.5965222857475281,79.302,0.6363665187358856,79.46
37,0.1,0.5927805920028687,79.444,0.621450846195221,79.26
38,0.1,0.5962750856399536,79.222,0.6052974942326546,80.11
39,0.1,0.5980879204559326,79.294,0.8502710992097855,72.53
40,0.1,0.5945076013374329,79.402,1.1335359287261964,64.52
41,0.1,0.5896174477767945,79.604,0.9401766771078109,73.2
42,0.1,0.5890487698554993,79.658,0.8495639634132385,73.88
43,0.1,0.5837572324562073,79.68,0.7555680146813393,75.6
44,0.1,0.5849365027046204,79.752,1.1200458985567092,70.05
45,0.1,0.590825824546814,79.304,0.7025116997957229,77.01
46,0.1,0.5907990361404419,79.608,0.5496594166755676,81.69
47,0.1,0.580757742137909,79.922,0.6054330343008041,80.06
48,0.1,0.5828155611228942,79.784,0.5638775527477264,80.35
49,0.1,0.5834918552207947,79.804,0.636946648657322,78.86
50,0.1,0.5807153139591217,80.038,0.5784096786379814,79.8
51,0.1,0.5774804734992981,79.914,1.0736547231674194,69.03
52,0.1,0.5745601323318481,80.308,0.7501019608974456,76.32
53,0.1,0.5880911460113525,79.73,0.8291524294018745,74.16
54,0.1,0.5738338605499268,80.014,0.6860853087902069,78.05
55,0.1,0.5800030368614196,79.95,0.6819530296325683,77.32
56,0.1,0.5808282624435425,79.716,0.6386750200390816,78.1
57,0.1,0.5776019373130798,80.04,0.6286275646090508,79.6
58,0.1,0.580120146780014,79.746,0.6353247785568237,78.26
59,0.1,0.569180133190155,80.322,0.783272987306118,75.49
60,0.1,0.5767647706031799,79.86,0.7274616634845734,77.18
61,0.1,0.5777459055709839,80.052,0.6710063564777374,77.62
62,0.1,0.569541921043396,80.354,0.6620515233278275,77.79
63,0.1,0.5753240002441407,80.12,0.6584611335396766,79.11
64,0.1,0.5677314066123963,80.502,0.6730746272206306,78.53
65,0.1,0.5752792740249634,79.978,0.7639403805136681,75.54
66,0.1,0.5734767754268646,80.108,0.5929164201021194,79.69
67,0.1,0.5730845831489563,80.182,0.7742486715316772,75.97
68,0.1,0.568777074508667,80.142,0.6249027591943741,79.6
69,0.1,0.5675614118003846,80.57,0.784869647026062,75.39
70,0.1,0.5729677072525025,80.25,0.7690349516272544,76.78
71,0.1,0.5682805407142639,80.476,0.8962171620130539,72.31
72,0.1,0.5730993954849243,80.284,0.9432235789299012,71.41
73,0.1,0.5672817280960083,80.316,0.6657593593001365,78.66
74,0.1,0.5727737909317017,80.206,0.7949643015861512,74.99
75,0.1,0.5677696041870117,80.496,0.861835275888443,74.54
76,0.1,0.5680701867675781,80.24,0.8587655106186867,72.91
77,0.1,0.5642777972221374,80.426,0.553799822628498,80.53
78,0.1,0.5657946980285644,80.556,0.6124252447485924,79.23
79,0.1,0.5625154271125793,80.652,0.765457484126091,74.33
80,0.1,0.5667638265991211,80.306,0.9529460889101028,69.64
81,0.1,0.5664833713340759,80.32,0.6671891728043556,78.72
82,0.1,0.5675017470169067,80.212,0.6017466431856155,80.48
