epoch,learning_rate,train_loss,train_accuracy,test_loss,test_accuracy
1,0.1,3.994966499557495,8.074,3.932143278121948,9.76
2,0.1,3.4520253453826903,15.994,3.377507712841034,18.66
3,0.1,3.006684387435913,23.992,3.060490818023682,24.45
4,0.1,2.685733945770264,30.206,2.8011628651618956,28.89
5,0.1,2.458252713165283,34.908,2.911040816307068,29.59
6,0.1,2.29801510635376,38.298,2.8024964475631715,31.05
7,0.1,2.17916696975708,40.85,2.5866157245635986,34.86
8,0.1,2.0865121900939942,43.41,2.188431644439697,41.98
9,0.1,2.0167815979003905,45.014,2.736390368938446,32.08
10,0.1,1.961525383644104,46.048,2.6332320392131807,36.47
11,0.1,1.911428373260498,47.254,2.1003178358078003,43.64
12,0.1,1.8787772785186767,48.214,2.7639315032958987,34.24
13,0.1,1.8382385452270509,49.214,2.1622311341762543,42.83
14,0.1,1.815504856300354,49.714,2.300235860347748,42.41
15,0.1,1.790154997024536,50.36,2.2173339354991914,43.2
16,0.1,1.7713288387680053,50.492,2.46060600399971,39.84
17,0.1,1.764860450668335,51.238,2.283283793926239,40.75
18,0.1,1.7333583707427977,51.594,2.1194465959072115,44.17
19,0.1,1.7278639434432983,51.822,2.0686001491546633,45.62
20,0.1,1.7253404763412477,51.93,2.0395305931568144,45.49
21,0.1,1.7042347884368896,52.572,1.9988626587390899,47.16
22,0.1,1.6925813105773926,52.836,2.3707903528213503,41.18
23,0.1,1.6881831200408937,52.804,2.050048837661743,45.48
24,0.1,1.6738188357162476,53.51,2.316490775346756,43.61
25,0.1,1.6617899686431885,53.508,2.280581541061401,42.66
26,0.1,1.6723217487335205,53.304,2.224700355529785,42.25
27,0.1,1.6536098989486694,53.732,1.9748542201519013,47.51
28,0.1,1.641613938522339,54.068,2.058249796628952,45.22
29,0.1,1.6445349434661864,54.084,2.677310383319855,37.15
30,0.1,1.638743076248169,54.124,2.3397462916374208,39.86
31,0.1,1.6317741775894166,54.23,1.9301661777496337,48.27
32,0.1,1.6165294064331055,54.76,2.2010764229297637,44.37
33,0.1,1.6230361952209473,54.496,2.0306445133686064,46.29
34,0.1,1.6117681231307983,54.762,2.1236383366584777,44.97
35,0.1,1.6124163962554932,54.506,2.1038109004497527,45.95
36,0.1,1.6020451587677003,55.038,2.1804938244819643,42.84
37,0.1,1.595736053199768,55.006,2.03648094534874,46.88
38,0.1,1.599421428451538,55.018,2.112172244787216,45.51
39,0.1,1.588314616470337,55.02,2.007620964050293,48.12
40,0.1,1.5892083575057983,55.38,2.1682816338539124,44.97
41,0.1,1.578817918586731,55.712,2.089263205528259,45.66
42,0.1,1.5835841138076783,55.424,2.2984871423244475,43.66
43,0.1,1.5748812967300414,55.722,1.94952592253685,48.01
44,0.1,1.5727971893692017,55.536,1.830538581609726,50.59
45,0.1,1.5726218076324463,55.91,1.953218448162079,48.86
46,0.1,1.5758928993988037,55.722,2.2116907060146334,44.06
47,0.1,1.574177691116333,55.882,1.8474661529064178,50.28
48,0.1,1.5647478964996338,56.044,2.058950655460358,46.15
49,0.1,1.562891383895874,56.178,2.230880757570267,43.08
50,0.1,1.5559627686309814,56.312,2.305107625722885,42.71
51,0.1,1.5522771572113037,56.386,2.333471076488495,43.63
52,0.1,1.5549150875091553,55.906,2.1109120774269106,45.01
53,0.1,1.5492817356109618,56.238,1.9331160700321197,49.22
54,0.1,1.5529480878448487,56.288,1.938116718530655,48.09
55,0.1,1.554782523765564,56.338,1.8451628494262695,49.83
56,0.1,1.5515345254898072,56.2,1.879716342687607,48.62
57,0.1,1.553896042175293,56.258,2.2200729131698607,43.9
58,0.1,1.5463014831924438,56.362,2.164214037656784,43.99
59,0.1,1.5358403882217406,56.81,2.194144172668457,44.85
60,0.1,1.541804189682007,56.532,1.8167867541313172,50.54
61,0.1,1.5301104772567748,56.692,2.764364482164383,38.26
62,0.1,1.5403117546081544,56.62,1.9698843014240266,48.41
63,0.1,1.5349104329681396,56.554,2.2361782693862917,45.95
64,0.1,1.5354220388031006,56.656,1.8877053081989288,50.31
65,0.1,1.5437379192733764,56.522,1.8660253202915191,49.78
66,0.1,1.5261262980651855,56.728,1.967363623380661,48.51
67,0.1,1.5420559197235106,56.61,1.8736836779117585,50.19
68,0.1,1.523987500076294,57.036,2.0401892185211183,47.07
69,0.1,1.525309912109375,56.912,1.9919056653976441,48.81
70,0.1,1.5285693939971925,56.814,2.0979813468456268,45.73
71,0.1,1.5271402947998047,56.962,1.977424750328064,48.63
72,0.1,1.518934945411682,56.924,2.8243459630012513,36.54
73,0.1,1.526033642616272,56.78,1.8696445274353026,51.37
74,0.1,1.5215996711730957,57.132,2.054271709918976,47.5
75,0.1,1.5228061328887939,57.05,1.9966640889644622,48.28
76,0.1,1.5248657114028932,56.786,1.985757291316986,48.11
77,0.1,1.518658328819275,57.096,2.119833997488022,46.53
78,0.1,1.5280728680419922,56.814,1.8202139508724213,50.62
79,0.1,1.5103995736312865,57.284,2.134112572669983,45.18
80,0.1,1.5182275283050537,57.088,2.0688464069366455,46.69
81,0.1,1.5101099447631836,57.448,1.8689100170135498,49.45
82,0.1,1.5098712858963013,57.218,2.04225359916687,48.08
83,0.1,1.516807018699646,57.194,2.14240892291069,45.36
84,0.1,1.5133231240081788,57.014,2.1618594777584077,45.44
85,0.1,1.517021223220825,56.992,1.9759981286525727,50.1
86,0.1,1.5065200207519531,57.292,1.8324357843399048,51.02
87,0.1,1.503362667503357,57.434,1.9251581168174743,48.42
88,0.1,1.5065808127593994,57.42,1.8715700709819794,50.08
89,0.1,1.5095788663101197,57.494,2.4735526967048647,42.04
90,0.1,1.4936398638153077,57.744,1.8973766446113587,49.48
91,0.1,1.514325429611206,57.112,1.9544711709022522,49.04
92,0.1,1.4930038721084595,57.65,1.9070491790771484,50.11
93,0.1,1.5024754247283936,57.55,1.9333571672439576,49.12
94,0.1,1.5064807553863526,57.318,2.013524980545044,47.17
95,0.1,1.5019588646697999,57.306,1.9011877131462098,49.47
96,0.1,1.5003523091888429,57.388,2.0192982006072997,47.36
97,0.1,1.5019021230316163,57.604,1.8924552607536316,49.56
98,0.1,1.5002974071884154,57.574,1.9775025367736816,48.68
99,0.1,1.4987515265274047,57.438,2.13787505030632,46.07
100,0.1,1.5039915979766845,57.786,2.073972761631012,45.54
101,0.1,1.494408074951172,57.686,2.122072455883026,45.61
102,0.1,1.4936933185577392,57.67,2.2578497445583343,43.92
103,0.1,1.4980912050628663,57.644,1.8080265533924103,51.35
104,0.1,1.498942545852661,57.62,1.9228464996814727,49.75
105,0.1,1.4951000662994385,57.844,2.022399525642395,47.35
106,0.1,1.4916324188613892,57.696,2.1389764666557314,46.5
107,0.1,1.4936808683013916,57.71,1.9087547969818115,49.26
108,0.1,1.488528329963684,58.016,2.187962005138397,43.91
109,0.1,1.498616717300415,57.532,1.7444131648540497,51.92
110,0.1,1.4931280227279664,57.784,2.1954062843322752,45.54
111,0.1,1.4959311571884155,57.376,2.0420763158798216,48.34
112,0.1,1.487721510772705,57.892,1.887205762863159,49.45
113,0.1,1.488489040184021,57.896,1.8354368460178376,50.09
114,0.1,1.4798327306747436,58.014,2.0223943305015566,46.94
115,0.1,1.4903297839736938,57.626,1.975309203863144,48.43
116,0.1,1.490322103614807,57.738,2.144382474422455,46.55
117,0.1,1.49497903591156,57.544,1.8471818208694457,49.83
118,0.1,1.4831670520782472,58.134,2.3985287880897523,41.46
119,0.1,1.4872815474319458,57.784,1.873310661315918,50.95
120,0.1,1.4884650902938843,57.722,1.913543585538864,48.7
121,0.1,1.494663617630005,57.718,1.945361121892929,48.44
122,0.1,1.4880103799057007,57.812,2.2770862233638764,43.7
123,0.1,1.486963734664917,57.806,1.976441284418106,47.55
124,0.1,1.4839615008163451,57.99,2.0567099833488465,46.71
125,0.1,1.4879415170669557,57.774,1.9308005726337434,48.35
126,0.1,1.486569573135376,57.928,1.9710568273067475,48.81
127,0.1,1.4863374499130249,57.93,2.0493864011764527,47.79
128,0.1,1.4900358685684205,57.76,2.1988352012634276,45.26
129,0.1,1.4892677490997315,57.564,1.8679069519042968,50.18
130,0.1,1.47754499420166,58.248,1.9779192900657654,48.88
131,0.1,1.4768478177642823,58.036,1.9770110297203063,48.57
132,0.1,1.4761621829986573,58.118,2.262791789770126,44.03
133,0.1,1.496496051864624,57.79,1.850130604505539,50.44
134,0.1,1.4844502529907226,57.786,1.9858251023292541,49.07
135,0.1,1.4785721306610107,58.094,2.0912487185001374,45.55
136,0.1,1.4767165826034545,58.154,1.8656895792484283,51.28
137,0.1,1.4753053382110595,58.312,2.1089480888843535,47.27
138,0.1,1.4831811999893187,57.858,1.9137499773502349,49.35
139,0.1,1.4880507562637328,57.72,2.1852349722385407,44.26
140,0.1,1.4767907141494752,58.26,1.964335618019104,48.63
141,0.1,1.4784073627090455,58.258,2.159331464767456,46.91
142,0.1,1.4859665554809571,57.804,1.990128252506256,47.28
143,0.1,1.4784891189575196,57.976,1.8175759303569794,50.75
144,0.1,1.4830679086685181,58.054,1.9408891093730927,49.15
145,0.1,1.4733810982131959,58.558,2.489949618577957,42.79
146,0.1,1.476395875930786,57.978,2.1181955730915067,45.69
147,0.1,1.4792820963287354,58.23,2.2908802890777586,42.2
148,0.1,1.4797479766845703,58.036,2.365048018693924,43.67
149,0.1,1.4717818531036377,58.222,2.139183019399643,46.26
150,0.1,1.4791148572158814,58.058,1.8826193177700044,49.45
151,0.010000000000000002,1.102759993133545,68.312,1.1966426587104797,65.34
152,0.010000000000000002,0.9918767761993408,71.3,1.1798535704612731,65.89
153,0.010000000000000002,0.9478159274291992,72.37,1.1634171307086945,66.69
154,0.010000000000000002,0.9207616974258422,73.346,1.1539226639270783,66.46
155,0.010000000000000002,0.897564325580597,73.69,1.1500686419010162,66.81
156,0.010000000000000002,0.88150215883255,74.0,1.1621694082021714,66.74
157,0.010000000000000002,0.8655727536773682,74.466,1.1482727068662644,66.78
158,0.010000000000000002,0.8571462170219422,74.81,1.1606470024585724,66.94
159,0.010000000000000002,0.8449842481994629,75.12,1.1623401409387588,66.79
160,0.010000000000000002,0.8262503422546387,75.512,1.1732662492990493,66.94
161,0.010000000000000002,0.8213230252456665,75.562,1.1558376002311705,67.04
162,0.010000000000000002,0.8143904050827027,75.73,1.180605286359787,66.48
163,0.010000000000000002,0.8069047072219848,76.04,1.1962224113941193,66.36
164,0.010000000000000002,0.8061325667953492,75.996,1.2042370003461838,66.44
165,0.010000000000000002,0.7963609447288513,76.386,1.2078487485647202,66.5
166,0.010000000000000002,0.7923023975944519,76.374,1.1957701081037522,66.38
167,0.010000000000000002,0.7909463816642761,76.358,1.229535917043686,65.59
168,0.010000000000000002,0.7830346223449707,76.75,1.238957001566887,66.03
