epoch,learning_rate,train_loss,train_accuracy,test_loss,test_accuracy
1,0.1,4.052598160324097,7.144,3.8151993560791015,11.04
2,0.1,3.5785627819824217,14.262,3.512579414844513,16.52
3,0.1,3.273582117462158,19.208,3.3418883299827575,20.58
4,0.1,3.0083572871398925,24.084,3.139301555156708,24.44
5,0.1,2.7862367809295656,28.402,2.842824833393097,29.19
6,0.1,2.6131485017395018,31.866,3.021951677799225,27.61
7,0.1,2.478850587615967,34.676,2.772664153575897,32.38
8,0.1,2.3727619752502442,37.028,2.5624750566482546,35.37
9,0.1,2.3065681103515625,38.668,2.31137332201004,39.26
10,0.1,2.239037481536865,40.252,2.3680378830432893,38.83
11,0.1,2.194796078796387,41.032,2.270413306951523,41.54
12,0.1,2.1454382218933103,42.086,2.359200646877289,39.57
13,0.1,2.1168973657226564,42.93,2.269425747394562,40.43
14,0.1,2.0769463665771486,43.946,2.0886101579666136,44.33
15,0.1,2.057260987854004,44.244,2.6102216982841493,38.75
16,0.1,2.035432205543518,44.862,2.4618880569934847,39.65
17,0.1,2.024135648574829,45.124,2.1779707467555998,43.01
18,0.1,2.008109870300293,45.432,2.344002106189728,40.42
19,0.1,1.9867753579711913,46.286,2.1789731049537657,43.15
20,0.1,1.980446716003418,46.234,2.154894173145294,44.03
21,0.1,1.9713122229003905,46.402,2.162791349887848,44.3
22,0.1,1.9658574911499023,46.486,2.2409064292907717,42.99
23,0.1,1.9486785299682616,46.674,2.2933143866062164,42.8
24,0.1,1.9328189701080323,47.338,2.2369995701313017,42.66
25,0.1,1.9430970349884034,46.94,2.0446543896198275,45.95
26,0.1,1.9310766380310058,47.442,2.174122791290283,44.3
27,0.1,1.9191728119659424,47.84,2.1298761522769927,44.42
28,0.1,1.9159164973449707,47.602,2.1386064434051515,43.79
29,0.1,1.9062735635757446,47.886,2.2941924393177033,42.6
30,0.1,1.8984770454406739,48.41,2.428106118440628,41.33
31,0.1,1.8979156285858154,48.288,2.3959983563423157,40.67
32,0.1,1.8993214585494995,48.254,2.5107719993591306,38.96
33,0.1,1.8818690421295166,48.55,2.020818101167679,46.87
34,0.1,1.8763913622283936,48.778,2.017596409320831,46.28
35,0.1,1.884279298400879,48.368,2.1547393000125883,44.46
36,0.1,1.8686524342346191,48.74,2.1703080582618712,44.29
37,0.1,1.87465981010437,48.868,2.0798329854011537,44.94
38,0.1,1.8686651313018798,48.908,2.4493204176425936,40.63
39,0.1,1.86654372215271,48.884,2.093009171485901,45.3
40,0.1,1.8620629103851318,48.902,2.168679769039154,45.58
41,0.1,1.8637346824645995,49.07,2.263792349100113,43.01
42,0.1,1.8624940561294556,49.048,2.2273294925689697,43.36
43,0.1,1.8532258341979981,49.294,2.2881963992118837,41.51
44,0.1,1.850771239051819,49.486,2.083621219396591,45.41
45,0.1,1.8446162619018556,49.378,2.171546334028244,43.76
46,0.1,1.8420989461517334,49.582,2.0426672208309173,45.58
47,0.1,1.8517579034042357,49.252,1.8931306850910188,49.37
48,0.1,1.8500777932739259,49.314,2.5307368409633635,39.65
49,0.1,1.8388528506088258,49.622,2.1069296729564666,44.81
50,0.1,1.8434593689727783,49.608,2.0560339391231537,45.98
51,0.1,1.8447250036239624,49.674,2.3507127964496615,40.72
52,0.1,1.8291276755142212,49.732,2.020333302021027,47.71
53,0.1,1.831281094970703,49.704,1.9934297597408295,48.19
54,0.1,1.825347001953125,49.764,2.264130778312683,43.26
55,0.1,1.8298819183349608,50.136,2.161345624923706,43.68
56,0.1,1.8339885945892334,49.64,1.9672863233089446,47.26
57,0.1,1.8360876412963867,49.628,2.171451756954193,44.59
58,0.1,1.8233915328216552,49.826,1.8868519842624665,48.76
59,0.1,1.8303662880706788,49.776,2.0523093795776366,46.71
60,0.1,1.8210296744537353,50.004,2.281877505779266,42.03
61,0.1,1.8210047245025636,50.03,2.214629153013229,44.61
62,0.1,1.8148236734771728,50.17,2.2310489428043367,43.38
63,0.1,1.8297893894195556,49.948,2.3531668305397035,40.93
64,0.1,1.824779797744751,49.926,2.452340354919434,39.17
