epoch,learning_rate,train_loss,train_accuracy,test_loss,test_accuracy
1,0.1,1.7301007815933227,34.368,1.7621036660671234,37.96
2,0.1,1.2086023104476928,55.842,1.2908233481645583,55.19
3,0.1,0.9480733494377136,66.382,0.9950859969854355,65.01
4,0.1,0.8108659425735474,71.384,1.276581689119339,58.9
5,0.1,0.7345539514923096,74.398,0.737687745988369,75.05
6,0.1,0.6763563268852234,76.628,0.9350341516733169,70.56
7,0.1,0.6392548846817017,77.902,1.8568141555786133,54.69
8,0.1,0.6222680340194702,78.424,0.8628009897470474,72.08
9,0.1,0.593797055606842,79.702,1.1865640038251877,67.92
10,0.1,0.575898167514801,80.354,0.6896691098809242,77.12
11,0.1,0.5613284496498108,80.576,0.6627966898679734,77.47
12,0.1,0.5549474510765076,80.976,0.9405768167972565,71.78
13,0.1,0.5352071294021606,81.602,0.7093017488718033,76.32
14,0.1,0.5237417253112793,82.17,0.7627744197845459,74.48
15,0.1,0.5149956413078308,82.174,1.0611735141277314,70.5
16,0.1,0.5090796941566468,82.566,0.881758918762207,71.93
17,0.1,0.5084494619560241,82.57,0.68102070748806,77.19
18,0.1,0.5025245481300354,82.932,0.6794018030166626,76.97
19,0.1,0.49367425488471983,82.972,0.7558099642395973,76.48
20,0.1,0.4926728520965576,82.88,0.6197146999835969,78.88
21,0.1,0.4840034405899048,83.294,0.5990772390365601,79.68
22,0.1,0.4760524790763855,83.682,0.6875215664505958,77.72
23,0.1,0.4745594990730286,83.926,0.7054579266905785,76.42
24,0.1,0.4729370037460327,83.774,0.6486970838904381,78.53
25,0.1,0.46349787145614624,84.054,0.8120128566026688,73.81
26,0.1,0.4606674432277679,84.29,0.5757368069887161,81.32
27,0.1,0.46343057415008543,84.06,0.59676284044981,79.92
28,0.1,0.4573643485355377,84.44,0.622896530032158,79.16
29,0.1,0.4494763636779785,84.854,0.6516948223114014,77.5
30,0.1,0.4533913694953918,84.506,0.652396273612976,79.0
31,0.1,0.45296928413391113,84.352,0.7275378903746605,77.43
32,0.1,0.4454388315486908,84.6,0.7969279325008393,74.19
33,0.1,0.44067600191116335,84.912,0.9191845327615737,71.76
